"impresso","enviadomotorista","clienteconfirma","ctes","criado_em","resolvida","telefone","TICKET _D","data_ticket","status","assunto"
false,false,false,18198401106289,2026-03-06 12:45:04.450,false,,,2026-03-20 08:03:58.033,,
true,true,false,18015951229460,2026-02-18 17:50:37.962,false,,,2026-03-20 08:03:58.033,,
false,false,false,18201500367772,2026-02-19 10:12:18.328,false,,,2026-03-20 08:03:58.033,,
false,false,false,18180900811796,2026-02-19 10:08:41.749,true,,,2026-03-20 08:03:58.033,,
false,false,false,18180900793876,2026-02-19 10:04:26.830,true,,,2026-03-20 08:03:58.033,,
false,false,false,18015951285123,2026-02-19 19:55:45.669,true,,,2026-03-20 08:03:58.033,,
false,true,,18015951242317,2026-02-18 10:25:18.700,true,,,2026-03-20 08:03:58.033,,
true,true,true,18015951278665,2026-02-18 10:25:18.700,true,,,2026-03-20 08:03:58.033,,
false,false,false,18015953242220,2026-04-15 14:47:52.398,false,5571996844509,,2026-04-15 17:47:52.404,,
false,false,false,18097900917334,2026-02-19 15:27:17.891,true,,,2026-03-20 08:03:58.033,,
false,false,false,18206101100031,2026-02-19 15:18:27.563,true,,,2026-03-20 08:03:58.033,,
false,false,false,18206101109662,2026-02-19 15:21:03.975,true,,,2026-03-20 08:03:58.033,,
false,false,false,18249200208416,2026-04-16 09:07:56.878,false,5571987272767,,2026-04-16 12:07:56.881,,
false,false,false,18189800192691,2026-02-23 13:26:53.462,false,,,2026-03-20 08:03:58.033,,
false,true,false,18109044948062,2026-04-15 09:05:45.727,false,5571986259664,,2026-04-15 12:05:45.729,,
false,false,false,18000100269425,2026-05-14 11:05:03.364,true,0,5172233,2026-04-15 00:00:00.000,Resolvido,Comprovante de entrega
false,false,false,18188300592749,2026-05-13 16:22:56.917,true,0,5155889,2026-04-14 00:00:00.000,Resolvido,Comprovante de entrega
false,false,false,18015951427359,2026-02-26 17:51:18.237,false,,,2026-03-20 08:03:58.033,,
false,true,false,18176302789664,2026-02-26 18:21:45.683,false,,,2026-03-20 08:03:58.033,,
false,false,false,18015951603140,2026-02-26 19:29:43.511,false,,,2026-03-20 08:03:58.033,,
false,false,false,18015951588454,2026-02-27 11:18:07.845,false,,,2026-03-20 08:03:58.033,,
false,false,false,18015951561009,2026-02-27 13:42:01.494,false,,,2026-03-20 08:03:58.033,,
