cidade;cep_ini;cep_fim;bairro;tabela_motorista
Salvador;41230351;41230973;Granjas Rurais Presidente Vargas;Tab_1
Salvador;41230000;41230349;Granjas Rurais Presidente Vargas;Tab_1
Salvador;40240900;40240900;Nazaré;Tab_1
Salvador;40340810;40340810;IAPI;Tab_1
Salvador;40340811;40375973;Liberdade;Tab_1
Salvador;40240901;40045155;Saúde;Tab_1
Salvador;40358680;40358680;Liberdade;Tab_1
Salvador;40040000;40040524;Nazaré;Tab_1
Salvador;40040525;40240899;Saúde;Tab_1
Salvador;40024080;40024136;Barroquinha;Tab_1
Salvador;40010000;40015975;Comércio;Tab_1
Salvador;40020000;40020971;Centro;Tab_1
Salvador;40025000;40025900;Baixa dos Sapateiros;Tab_1
Salvador;40026000;40026902;Centro Histórico;Tab_2
Salvador;40026970;40026970;Pelourinho;Tab_2
Salvador;40050050;40050290;Tororó;Tab_3
Salvador;40060000;40060904;Dois de Julho;Tab_3
Salvador;40070020;40070970;Barris;Tab_3
Salvador;40080001;40080970;Campo Grande;Tab_2
Salvador;40080002;40081400;Vitória;Tab_2
Salvador;40080136;40080901;Politeama;Tab_3
Salvador;40100000;40105970;Garcia;Tab_3
Salvador;40110000;40110913;Canela;Tab_3
Salvador;40130000;40140974;Barra;Tab_1
Salvador;40150000;40150973;Graça;Tab_1
Salvador;40155000;40155970;Jardim Apipema;Tab_1
Salvador;40157130;40157570;Chame-Chame;Tab_1
Salvador;40169500;40170970;Ondina;Tab_1
Salvador;40210245;40231902;Federação;Tab_1
Salvador;40220000;40225520;Engenho Velho da Federação;Tab_1
Salvador;40226000;40226640;Alto das Pombas;Tab_1
Salvador;40240005;40245770;Engenho Velho de Brotas;Tab_1
Salvador;40250000;40254430;Cosme de Farias;Tab_1
Salvador;40255000;40260970;Matatu;Tab_1
Salvador;40260205;40261090;Luiz Anselmo;Tab_1
Salvador;40262000;40262110;Santo Agostinho;Tab_1
Salvador;40265000;40265200;Santa Teresa;Tab_2
Salvador;40270000;40270900;Vila Laura;Tab_2
Salvador;40271000;40271150;Boa Vista de Brotas;Tab_3
Salvador;40275010;40290900;Brotas;Tab_3
Salvador;40275180;40276170;Campinas de Brotas;Tab_3
Salvador;40279640;40280970;Parque Bela Vista;Tab_2
Salvador;40283880;40283880;Daniel Lisboa;Tab_2
Salvador;40290000;40290901;Acupe;Tab_3
Salvador;40295000;40295570;Horto Florestal;Tab_3
Salvador;40296000;40296730;Candeal;Tab_3
Salvador;40300500;40302400;Macaúbas;Tab_1
Salvador;40300750;40301270;Barbalho;Tab_1
Salvador;40301280;40301520;Santo Antônio;Tab_1
Salvador;40310000;40315590;Pau Miúdo;Tab_1
Salvador;40313000;40318170;Cidade Nova;Tab_1
Salvador;40320005;40323900;Caixa D'Água;Tab_1
Salvador;40328000;40328288;Lapinha;Tab_1
Salvador;40335000;40340390;Pero Vaz;Tab_1
Salvador;40342000;40342780;Santa Mônica;Tab_1
Salvador;40349010;40349810;Alto do Peru;Tab_1
Salvador;40349060;40360590;Fazenda Grande do Retiro;Tab_1
Salvador;40365000;40366585;Curuzu;Tab_1
Salvador;40385000;40387540;Boa Vista de São Caetano;Tab_1
Salvador;40388000;40388610;Bom Juá;Tab_2
Salvador;40390000;40391970;São Caetano;Tab_2
Salvador;40393000;40398315;Capelinha;Tab_3
Salvador;40410400;40411970;Calçada;Tab_3
Salvador;40411901;40460900;Água de Meninos;Tab_3
Salvador;40414000;40414610;Boa Viagem;Tab_2
Salvador;40415000;40415890;Bonfim;Tab_2
Salvador;40420000;40421970;Ribeira;Tab_3
Salvador;40425000;40425720;Monte Serrat;Tab_3
Salvador;40430000;40431080;Vila Ruy Barbosa;Tab_3
Salvador;40433004;40436890;Massaranduba;Tab_1
Salvador;40437000;40437530;Mangueira;Tab_1
Salvador;40440030;40440970;Caminho de Areia;Tab_1
Salvador;40444000;40444805;Roma;Tab_1
Salvador;40445000;40445600;Mares;Tab_1
Salvador;40450005;40454290;Uruguai;Tab_1
Salvador;40455010;40455170;Machado;Tab_1
Salvador;40470000;40483390;Lobato;Tab_1
Salvador;40484000;40485770;Alto do Cabrito;Tab_1
Salvador;40486000;40486455;Santa Luzia;Tab_1
Salvador;40487000;40487300;Boa Vista do Lobato;Tab_1
Salvador;40490000;40492190;São João do Cabrito;Tab_1
Salvador;40708000;40718900;Plataforma;Tab_1
Salvador;40710000;40710450;Escada;Tab_2
Salvador;40711000;40712620;Alto da Terezinha;Tab_2
Salvador;40711500;40715300;Ilha Amarela;Tab_3
Salvador;40713011;40715808;Itacaranha;Tab_3
Salvador;40715312;40716690;Rio Sena;Tab_3
Salvador;40719000;40719095;Mirantes de Periperi;Tab_2
Salvador;40719200;40719330;Colinas de Periperi;Tab_2
Salvador;40720000;40740630;Periperi;Tab_3
Salvador;40720580;40725560;Praia Grande;Tab_3
Salvador;40730000;40734150;Fazenda Coutos;Tab_3
Salvador;40732000;40770430;Coutos;Tab_1
Salvador;40748000;40748600;Nova Constituinte;Tab_1
Salvador;40749000;40749185;Vista Alegre;Tab_1
Salvador;40771000;40840133;Paripe;Tab_1
Salvador;40800160;40841560;São Tomé;Tab_1
Salvador;41098010;41098970;Horto Bela Vista;Tab_1
Salvador;41099000;41099620;Saramandaia;Tab_1
Salvador;41100000;41130900;Pernambués;Tab_1
Salvador;41150000;41150970;Cabula;Tab_1
Salvador;41151000;41151150;Retiro;Tab_1
Salvador;41152000;41152972;Resgate;Tab_1
Salvador;41180000;41180900;Saboeiro;Tab_1
Salvador;41181000;41181900;Cabula VI;Tab_1
Salvador;41185000;41190340;São Gonçalo;Tab_2
Salvador;41192000;41192970;Narandiba;Tab_2
Salvador;41194000;41194235;Doron;Tab_3
Salvador;41195000;41197160;Barreiras;Tab_3
Salvador;41200005;41200875;Engomadeira;Tab_3
Salvador;41204000;41204415;Arraial do Retiro;Tab_2
Salvador;41205000;41210895;Tancredo Neves;Tab_2
Salvador;41211000;41211895;Arenoso;Tab_3
Salvador;41213000;41217200;Sussuarana;Tab_3
Salvador;41216100;41216870;Nova Sussuarana;Tab_3
Salvador;41218000;41218770;Novo Horizonte;Tab_1
Salvador;41219005;41225970;Mata Escura;Tab_1
Salvador;41227000;41227410;Calabetão;Tab_1
Salvador;41230250;41230765;Jardim Cajazeiras;Tab_1
Salvador;41231010;41231570;Jardim Santo Inácio;Tab_1
Salvador;41235000;41247260;Pau da Lima;Tab_1
Salvador;41250000;41253972;São Marcos;Tab_1
Salvador;41254105;41255220;São Rafael;Tab_1
Salvador;41256080;41256505;Vale dos Lagos;Tab_1
Salvador;41260000;41260970;Canabrava;Tab_1
Salvador;41262000;41262190;Vila 2 de Julho;Tab_1
Salvador;41270000;41275970;Campinas de Pirajá;Tab_1
Salvador;41280000;41285100;Marechal Rondon;Tab_1
Salvador;41290000;41297490;Pirajá;Tab_2
Salvador;41298025;41299630;Boca da Mata de Valéria;Tab_2
Salvador;41300000;41305620;Valéria;Tab_3
Salvador;41306005;41307810;Nova Brasília de Valéria;Tab_3
Salvador;41306010;41307655;Moradas da Lagoa;Tab_3
Salvador;41308000;41308500;Palestina;Tab_2
Salvador;41310005;41311800;Águas Claras;Tab_2
Salvador;41315000;41315400;Dom Avelar;Tab_3
Salvador;41320010;41322720;Castelo Branco;Tab_3
Salvador;41330005;41338800;Cajazeiras VIII;Tab_3
Salvador;41332010;41332150;Cajazeiras II;Tab_1
Salvador;41334004;41334320;Cajazeiras IV;Tab_1
Salvador;41335000;41335520;Cajazeiras V;Tab_1
Salvador;41336010;41336770;Cajazeiras VI;Tab_1
Salvador;41337100;41337415;Cajazeiras VII;Tab_1
Salvador;41339010;41347270;Fazenda Grande I;Tab_1
Salvador;41340000;41340760;Cajazeiras X;Tab_1
Salvador;41341010;41347970;Cajazeiras XI;Tab_1
Salvador;41342010;41342970;Fazenda Grande II;Tab_1
Salvador;41342495;41342890;Jaguaripe I;Tab_1
Salvador;41343010;41349550;Boca da Mata;Tab_1
Salvador;41343275;41343878;Fazenda Grande III;Tab_1
Salvador;41233000;41269999;Porto Seco Pirajá;Tab_1
Salvador;40323170;40324999;IAPI;Tab_2
Salvador;40325000;40334999;Liberdade;Tab_2
Salvador;40300002;40300499;Baixa de Quintas;Tab_3
Salvador;41345200;41345700;Fazenda Grande IV;Tab_3
Salvador;41350000;41351800;Nova Brasília;Tab_3
Salvador;41370000;41370790;Jardim Nova Esperança;Tab_2
Salvador;41385000;41387340;Sete de Abril;Tab_2
Salvador;41388000;41388350;Novo Marotinho;Tab_3
Salvador;41390000;41391000;Vila Canária;Tab_3
Salvador;41400000;41404000;Nova Esperança;Tab_3
Salvador;41400970;41405000;CEASA;Tab_1
Salvador;41410003;41410455;Barragem de Ipitanga;Tab_1
Salvador;41411000;41412650;Areia Branca;Tab_1
Salvador;41480000;41481628;Mussurunga;Tab_1
Salvador;41480295;41480295;Mussurunga II;Tab_1
Salvador;41483010;41483140;Alphaville II;Tab_1
Salvador;41490000;41490656;Mussurunga I;Tab_1
Salvador;41500008;41520971;São Cristóvão;Tab_1
Salvador;41502010;41502730;Jardim das Margaridas;Tab_1
Salvador;41503000;41504265;Itinga;Tab_1
Salvador;41505020;41507180;Cassange;Tab_1
