id;peso_de;peso_ate;faixas;valor_peso;nome_tabela
1;0.001;1.000;0,01 a 1 kg;3;Tab_1
2;1,010;3.000;1,01 a 3 kg;3,5;Tab_1
3;3.010;5.000;3,01 a 5 kg;4,2;Tab_1
4;5.010;8.000;5,01 a 8 kg;5;Tab_1
5;8.010;15.000;8,01 a 15 kg;7;Tab_1
6;15.010;9.999.000;acima de 15 kg;12;Tab_1
7;0.001;1.000;0,01 a 1 kg;2,8;Tab_2
8;1,010;3.000;1,01 a 3 kg;3;Tab_2
9;3.010;5.000;3,01 a 5 kg;4;Tab_2
10;5.010;8.000;5,01 a 8 kg;5;Tab_2
11;8.010;15.000;8,01 a 15 kg;8;Tab_2
12;15.010;9.999.000;acima de 15 kg;12;Tab_2
13;0.001;1.000;0,01 a 1 kg;3;Tab_3
14;1,010;3.000;1,01 a 3 kg;3,5;Tab_3
15;3.010;5.000;3,01 a 5 kg;4,5;Tab_3
16;5.010;8.000;5,01 a 8 kg;5;Tab_3
17;8.010;15.000;8,01 a 15 kg;6;Tab_3
18;15.010;9.999.000;acima de 15 kg;10;Tab_3
