TICKET ID,DATA CRIAÇÃO DO TICKET,STATUS,ASSUNTO,CTE
5367845,07/05/2026,Resolvido,Atraso na entrega,18191001712508
5367898,07/05/2026,Resolvido,Atraso na entrega,18191001712506
5369874,07/05/2026,Resolvido,Notificação,
5370585,07/05/2026,Resolvido,Assunto não identificado,
5372632,07/05/2026,Resolvido,Atraso na entrega,18176303004258
5372954,07/05/2026,Resolvido,Atraso na entrega,18176303004257
5372953,07/05/2026,Resolvido,Atraso na entrega,18176303004520
5376168,07/05/2026,Resolvido,Assunto não identificado,18015953691585
5377221,07/05/2026,Resolvido,Atraso na entrega,18206101238782
5377404,07/05/2026,Resolvido,Comprovante de entrega,18143102785150
5378123,07/05/2026,Resolvido,Atraso na entrega,18249200263969
5378334,07/05/2026,Resolvido,Atraso na entrega,18249200261775
5378390,07/05/2026,Resolvido,Atraso na entrega,18249200261776
5378450,07/05/2026,Resolvido,Atraso na entrega,18249200263799
5378772,07/05/2026,Resolvido,Atraso na entrega,18249200259540
5378832,07/05/2026,Resolvido,Atraso na entrega,18249200259558
5378888,07/05/2026,Resolvido,Atraso na entrega,18249200257950
5378892,07/05/2026,Resolvido,Atraso na entrega,18249200258057
5381689,08/05/2026,Resolvido,Notificação,
5382583,08/05/2026,Resolvido,Acareação,18206101234963
5383540,08/05/2026,Resolvido,Comprovante de entrega,18164601927605
5384101,08/05/2026,Resolvido,Assunto não identificado,
5384897,08/05/2026,Resolvido,Acareação,10085151422066
5384958,08/05/2026,Resolvido,Acareação,10085151422066
5386413,08/05/2026,Resolvido,Atraso na entrega,10089273141621
5387444,08/05/2026,Resolvido,Acareação,18109908454614
5387874,08/05/2026,Resolvido,Atraso na entrega,18176303008181
5387953,08/05/2026,Resolvido,Atraso na entrega,18176303004722
5389226,08/05/2026,Resolvido,Assunto não identificado,18015954055090
5389780,08/05/2026,Resolvido,Notificação,
5394701,09/05/2026,Resolvido,Acareação,18210200097224
5398777,11/05/2026,Resolvido,Assunto não identificado,
5403765,11/05/2026,Resolvido,Assunto não identificado,18177000268824
5404298,11/05/2026,Resolvido,Assunto não identificado,10085862732223
5404365,11/05/2026,Resolvido,Assunto não identificado,18166700726400
5404181,11/05/2026,Resolvido,Assunto não identificado,18168300006512
5404322,11/05/2026,Resolvido,Assunto não identificado,10081827311126
5405673,11/05/2026,Resolvido,Assunto não identificado,10089398915422
5404512,11/05/2026,Resolvido,Assunto não identificado,18168300006508
5409457,11/05/2026,Resolvido,Contestação de acareação,18126801841647
5409845,11/05/2026,Resolvido,Notificação,18015954016653
5409888,11/05/2026,Resolvido,Notificação,18015953913449
5409897,11/05/2026,Resolvido,Notificação,18015953998298
5409902,11/05/2026,Resolvido,Notificação,18104102626406
